ssn,age,education,marital-status,relationship,sex,income
877-87-7877,30.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
964-96-4964,52.0,Doctorate,,,Male,<=50K
983-98-3983,,Assoc-voc,Never-married,,,<=50K
094-09-4094,32.0,Some-college,Never-married,Own-child,Female,
451-45-1451,46.0,Prof-school,Separated,,Female,<=50K
864-86-4864,45.0,,Married-civ-spouse,Wife,,
669-66-9669,39.0,Some-college,Married-civ-spouse,Husband,,
954-95-4954,30.0,Bachelors,Married-civ-spouse,Wife,Female,>50K
497-49-7497,,,Married-civ-spouse,Husband,,
558-55-8558,37.0,Some-college,Divorced,Unmarried,,
823-82-3823,63.0,Assoc-acdm,,Husband,Male,<=50K
638-63-8638,49.0,,Married-civ-spouse,Husband,Male,
681-68-1681,29.0,,Married-civ-spouse,Wife,,>50K
113-11-3113,60.0,10th,Divorced,Unmarried,,
056-05-6056,32.0,HS-grad,Married-civ-spouse,Husband,,<=50K
790-79-0790,69.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
972-97-2972,45.0,Bachelors,Never-married,Not-in-family,Male,<=50K
809-80-9809,69.0,HS-grad,,Husband,Male,<=50K
682-68-2682,49.0,Prof-school,,,Male,>50K
635-63-5635,50.0,Bachelors,Married-civ-spouse,Husband,Male,
249-24-9249,39.0,HS-grad,Married-civ-spouse,Husband,Male,
514-51-4514,,Some-college,Never-married,,Male,<=50K
104-10-4104,45.0,,,Husband,,<=50K
968-96-8968,35.0,,Married-civ-spouse,Husband,,>50K
955-95-5955,45.0,HS-grad,Divorced,,Male,>50K
854-85-4854,20.0,,Never-married,Not-in-family,Male,<=50K
686-68-6686,30.0,,Married-civ-spouse,,Male,
292-29-2292,49.0,Bachelors,,,Male,
500-50-0500,28.0,HS-grad,Married-civ-spouse,Husband,Male,
572-57-2572,45.0,HS-grad,,,,
532-53-2532,37.0,Some-college,Never-married,Not-in-family,,
418-41-8418,23.0,10th,Never-married,Not-in-family,Female,<=50K
004-00-4004,29.0,Some-college,Divorced,Not-in-family,Male,<=50K
536-53-6536,40.0,Some-college,Widowed,Unmarried,Male,
587-58-7587,46.0,HS-grad,Married-civ-spouse,Husband,Male,
173-17-3173,43.0,,Married-civ-spouse,,,>50K
861-86-1861,43.0,Bachelors,,Unmarried,Female,
366-36-6366,46.0,HS-grad,,,Female,
527-52-7527,36.0,,Married-civ-spouse,Husband,Male,<=50K
264-26-4264,76.0,10th,Married-civ-spouse,,,<=50K
900-90-0900,32.0,,Never-married,Unmarried,Male,
198-19-8198,38.0,HS-grad,Divorced,,,
557-55-7557,75.0,HS-grad,Married-civ-spouse,Husband,,>50K
748-74-8748,54.0,HS-grad,Widowed,Unmarried,,>50K
135-13-5135,48.0,,Married-civ-spouse,,Male,>50K
133-13-3133,21.0,HS-grad,Separated,Unmarried,,
495-49-5495,,11th,Never-married,,Male,<=50K
956-95-6956,51.0,HS-grad,,Unmarried,Female,
256-25-6256,,,,Unmarried,Female,
935-93-5935,21.0,Bachelors,Never-married,Unmarried,,<=50K
830-83-0830,67.0,9th,Married-civ-spouse,Husband,,
377-37-7377,26.0,Some-college,,Wife,,
336-33-6336,43.0,Assoc-acdm,Married-civ-spouse,Husband,Male,>50K
082-08-2082,22.0,HS-grad,,Not-in-family,Female,
826-82-6826,61.0,11th,Married-civ-spouse,Husband,,>50K
476-47-6476,54.0,,Married-civ-spouse,Husband,Male,<=50K
402-40-2402,43.0,,Married-civ-spouse,Husband,Male,
048-04-8048,32.0,HS-grad,,Husband,,<=50K
071-07-1071,22.0,11th,,,Female,
443-44-3443,49.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
859-85-9859,38.0,Bachelors,,,Female,
463-46-3463,53.0,Doctorate,,,,
698-69-8698,65.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
799-79-9799,,HS-grad,Never-married,Other-relative,,
917-91-7917,63.0,Some-college,Married-civ-spouse,Husband,Male,
549-54-9549,21.0,Some-college,Never-married,Own-child,,
817-81-7817,32.0,HS-grad,Married-civ-spouse,Wife,Female,>50K
046-04-6046,52.0,Masters,,Unmarried,Female,
069-06-9069,27.0,,Married-civ-spouse,Wife,Female,<=50K
409-40-9409,40.0,HS-grad,Never-married,Own-child,Female,>50K
879-87-9879,18.0,Some-college,,,Male,<=50K
426-42-6426,26.0,Assoc-acdm,Divorced,Unmarried,,<=50K
533-53-3533,19.0,HS-grad,Never-married,Own-child,Female,<=50K
125-12-5125,54.0,,Married-civ-spouse,Husband,Male,
246-24-6246,30.0,Bachelors,Married-spouse-absent,Unmarried,,
646-64-6646,33.0,,Never-married,,,
525-52-5525,,HS-grad,,Husband,,
485-48-5485,48.0,,,,,
539-53-9539,19.0,10th,Never-married,Own-child,,<=50K
358-35-8358,25.0,,Never-married,,Male,
150-15-0150,44.0,10th,Never-married,,,<=50K
909-90-9909,46.0,,Divorced,Not-in-family,,
958-95-8958,29.0,HS-grad,Never-married,,Male,<=50K
922-92-2922,,Some-college,Never-married,Own-child,Male,<=50K
296-29-6296,45.0,,Never-married,Not-in-family,Male,
727-72-7727,39.0,,,Not-in-family,,
017-01-7017,45.0,HS-grad,,Husband,Male,<=50K
499-49-9499,51.0,12th,Divorced,Unmarried,Female,<=50K
858-85-8858,28.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
092-09-2092,33.0,HS-grad,Married-civ-spouse,Husband,Male,
665-66-5665,25.0,Doctorate,Never-married,Own-child,Male,
633-63-3633,28.0,,,Unmarried,Female,
903-90-3903,,,Divorced,Other-relative,Male,
740-74-0740,51.0,Prof-school,Married-civ-spouse,Wife,Female,
555-55-5555,40.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
737-73-7737,29.0,Some-college,Divorced,Not-in-family,Female,<=50K
352-35-2352,31.0,,Divorced,Own-child,Female,<=50K
554-55-4554,19.0,Some-college,Never-married,Not-in-family,,<=50K
827-82-7827,38.0,Assoc-voc,Never-married,Own-child,Male,
765-76-5765,31.0,Bachelors,Married-civ-spouse,Wife,,<=50K
551-55-1551,48.0,Bachelors,,,Male,<=50K
124-12-4124,33.0,Some-college,Separated,Not-in-family,,
685-68-5685,27.0,HS-grad,,,Male,<=50K
072-07-2072,17.0,11th,Never-married,,,
342-34-2342,21.0,,Never-married,Unmarried,Female,<=50K
894-89-4894,47.0,Masters,Married-civ-spouse,Husband,,
701-70-1701,36.0,Doctorate,Never-married,Unmarried,Female,<=50K
947-94-7947,41.0,Bachelors,,Unmarried,Female,<=50K
910-91-0910,77.0,,,Not-in-family,Female,
197-19-7197,,Assoc-voc,Never-married,Own-child,Male,<=50K
841-84-1841,27.0,HS-grad,Never-married,Own-child,Male,<=50K
431-43-1431,48.0,Bachelors,Married-civ-spouse,,,<=50K
754-75-4754,29.0,,Married-civ-spouse,Husband,,>50K
624-62-4624,18.0,10th,Married-civ-spouse,Wife,Female,
673-67-3673,52.0,HS-grad,Separated,Unmarried,Male,
550-55-0550,33.0,HS-grad,Married-spouse-absent,Not-in-family,Female,
751-75-1751,34.0,HS-grad,Married-civ-spouse,,Female,<=50K
470-47-0470,43.0,Bachelors,Never-married,Not-in-family,,
331-33-1331,59.0,Bachelors,Married-civ-spouse,Husband,,>50K
520-52-0520,43.0,Some-college,Married-civ-spouse,Husband,Male,
699-69-9699,65.0,Bachelors,Married-civ-spouse,Husband,,
311-31-1311,30.0,,,,,<=50K
161-16-1161,55.0,Some-college,Married-civ-spouse,Husband,,<=50K
820-82-0820,26.0,,Never-married,Not-in-family,Male,<=50K
801-80-1801,,HS-grad,Married-civ-spouse,,,
195-19-5195,49.0,HS-grad,Divorced,Unmarried,Female,>50K
321-32-1321,28.0,11th,Never-married,Own-child,,
162-16-2162,,Bachelors,Married-civ-spouse,,Male,>50K
467-46-7467,52.0,Assoc-acdm,Married-civ-spouse,Husband,Male,<=50K
636-63-6636,29.0,,Married-civ-spouse,Husband,Male,
061-06-1061,26.0,HS-grad,Never-married,,,<=50K
807-80-7807,42.0,Preschool,Never-married,Not-in-family,,>50K
963-96-3963,20.0,Some-college,Never-married,,,<=50K
374-37-4374,27.0,Bachelors,,Husband,Male,
129-12-9129,36.0,Prof-school,,,Male,<=50K
571-57-1571,35.0,Bachelors,Married-civ-spouse,,,>50K
211-21-1211,38.0,Some-college,,Not-in-family,Female,<=50K
579-57-9579,28.0,Assoc-acdm,,,Male,<=50K
899-89-9899,45.0,Masters,Married-civ-spouse,Husband,Male,
453-45-3453,64.0,HS-grad,Married-civ-spouse,Husband,,
573-57-3573,22.0,HS-grad,Married-civ-spouse,Husband,,
989-98-9989,41.0,,,Husband,,
543-54-3543,22.0,,Never-married,Own-child,Female,<=50K
588-58-8588,51.0,HS-grad,Married-civ-spouse,,Male,
269-26-9269,34.0,Bachelors,Married-civ-spouse,,Male,<=50K
340-34-0340,39.0,Assoc-voc,Married-civ-spouse,Husband,Male,
620-62-0620,27.0,Bachelors,Never-married,Not-in-family,,<=50K
219-21-9219,23.0,Assoc-voc,,Not-in-family,Male,<=50K
170-17-0170,39.0,,Separated,Unmarried,,<=50K
578-57-8578,32.0,Assoc-voc,Never-married,Own-child,Male,
213-21-3213,,Bachelors,Married-civ-spouse,Husband,,
486-48-6486,52.0,HS-grad,Married-civ-spouse,,Male,>50K
155-15-5155,53.0,,Married-civ-spouse,Husband,,<=50K
076-07-6076,,Some-college,Married-civ-spouse,Husband,,<=50K
273-27-3273,22.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
816-81-6816,42.0,,Separated,Unmarried,,
349-34-9349,43.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
528-52-8528,,Some-college,Never-married,Own-child,,<=50K
375-37-5375,31.0,Some-college,Never-married,Not-in-family,,<=50K
813-81-3813,29.0,,Never-married,Not-in-family,Female,
015-01-5015,21.0,Some-college,Never-married,,,<=50K
208-20-8208,18.0,Some-college,Never-married,Own-child,,
925-92-5925,,Some-college,Never-married,,,<=50K
704-70-4704,48.0,5th-6th,Married-civ-spouse,Husband,,<=50K
706-70-6706,56.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
884-88-4884,31.0,,Never-married,Not-in-family,,<=50K
779-77-9779,43.0,Some-college,Married-civ-spouse,,,
172-17-2172,19.0,,Never-married,Not-in-family,Female,
369-36-9369,41.0,Some-college,,,Female,<=50K
717-71-7717,,HS-grad,Married-civ-spouse,Husband,Male,
593-59-3593,66.0,Prof-school,Married-civ-spouse,,Male,<=50K
110-11-0110,35.0,,Never-married,Not-in-family,Male,
670-67-0670,,1st-4th,Married-civ-spouse,Husband,Male,<=50K
746-74-6746,29.0,HS-grad,,Not-in-family,,<=50K
513-51-3513,,HS-grad,Divorced,Not-in-family,Male,
975-97-5975,,,Never-married,Not-in-family,Male,<=50K
616-61-6616,54.0,Some-college,Divorced,Own-child,,<=50K
762-76-2762,43.0,Masters,,,Male,
488-48-8488,67.0,7th-8th,,,Female,<=50K
390-39-0390,30.0,HS-grad,Married-civ-spouse,Husband,Male,
689-68-9689,64.0,10th,Married-civ-spouse,Husband,Male,
134-13-4134,46.0,Bachelors,,Husband,,
832-83-2832,20.0,Some-college,Never-married,Own-child,,<=50K
054-05-4054,32.0,HS-grad,,Not-in-family,Female,<=50K
511-51-1511,23.0,,Married-civ-spouse,Husband,,>50K
738-73-8738,,Some-college,Married-civ-spouse,Husband,Male,<=50K
019-01-9019,38.0,HS-grad,Married-civ-spouse,Husband,Male,
457-45-7457,41.0,11th,Divorced,Own-child,,
045-04-5045,45.0,Assoc-acdm,Divorced,Unmarried,,<=50K
589-58-9589,35.0,Some-college,Never-married,,Male,
250-25-0250,23.0,11th,Never-married,,Female,
484-48-4484,59.0,Assoc-voc,Married-civ-spouse,Wife,,<=50K
882-88-2882,26.0,Masters,Never-married,Not-in-family,Male,<=50K
316-31-6316,40.0,,Married-civ-spouse,Husband,Male,>50K
487-48-7487,30.0,HS-grad,Widowed,Not-in-family,,
410-41-0410,21.0,,,Not-in-family,Male,
580-58-0580,61.0,HS-grad,Married-civ-spouse,,Male,
429-42-9429,,Assoc-voc,Divorced,Not-in-family,Female,<=50K
697-69-7697,,Some-college,,Wife,Female,
131-13-1131,,Masters,Never-married,Not-in-family,,<=50K
196-19-6196,55.0,Some-college,,Own-child,Female,>50K
265-26-5265,34.0,,,,,<=50K
724-72-4724,23.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
969-96-9969,33.0,,Married-civ-spouse,Husband,,
757-75-7757,30.0,HS-grad,Never-married,Not-in-family,Male,
118-11-8118,21.0,Some-college,Never-married,Own-child,Female,<=50K
288-28-8288,18.0,5th-6th,Never-married,,Male,<=50K
018-01-8018,53.0,HS-grad,Married-civ-spouse,Husband,,>50K
290-29-0290,18.0,Some-college,Never-married,Own-child,Male,<=50K
721-72-1721,55.0,7th-8th,Widowed,Not-in-family,Female,
466-46-6466,23.0,Bachelors,Divorced,Unmarried,Male,<=50K
354-35-4354,22.0,,,Other-relative,Male,<=50K
628-62-8628,22.0,Bachelors,Never-married,Own-child,,
064-06-4064,47.0,,Never-married,Not-in-family,,<=50K
824-82-4824,28.0,Some-college,Married-civ-spouse,,,<=50K
674-67-4674,36.0,Some-college,,Wife,,>50K
930-93-0930,41.0,,Married-civ-spouse,,Female,
871-87-1871,61.0,7th-8th,Married-civ-spouse,Husband,Male,
295-29-5295,51.0,Some-college,Divorced,Unmarried,,<=50K
492-49-2492,29.0,Some-college,,Unmarried,Female,
471-47-1471,22.0,,Never-married,Own-child,Male,<=50K
382-38-2382,17.0,Some-college,Never-married,Own-child,,<=50K
191-19-1191,31.0,Some-college,Never-married,Not-in-family,Male,
844-84-4844,30.0,,Married-civ-spouse,Husband,,
085-08-5085,38.0,Some-college,,Husband,Male,<=50K
301-30-1301,50.0,,,Husband,,
119-11-9119,47.0,Bachelors,,Other-relative,,<=50K
032-03-2032,30.0,10th,Married-civ-spouse,Husband,Male,<=50K
175-17-5175,34.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
063-06-3063,26.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
023-02-3023,55.0,11th,Married-civ-spouse,Husband,Male,
865-86-5865,20.0,12th,Never-married,Own-child,,<=50K
089-08-9089,49.0,,Divorced,,,<=50K
206-20-6206,57.0,Doctorate,,,Male,
912-91-2912,56.0,Doctorate,Divorced,Not-in-family,Female,
034-03-4034,29.0,Some-college,Separated,Unmarried,Female,
843-84-3843,35.0,Bachelors,Married-civ-spouse,,Male,>50K
116-11-6116,45.0,Assoc-acdm,Married-civ-spouse,Husband,,>50K
490-49-0490,28.0,HS-grad,Never-married,Own-child,Male,<=50K
995-99-5995,32.0,Some-college,Never-married,,Female,
784-78-4784,27.0,Some-college,,Not-in-family,Male,
391-39-1391,35.0,,Married-civ-spouse,,Male,<=50K
880-88-0880,17.0,Some-college,,Other-relative,Female,
750-75-0750,55.0,HS-grad,Widowed,Other-relative,Female,<=50K
287-28-7287,23.0,Some-college,Never-married,Other-relative,Male,
337-33-7337,41.0,HS-grad,,Wife,Female,
144-14-4144,30.0,HS-grad,,Not-in-family,Male,
883-88-3883,45.0,,Divorced,Not-in-family,Female,
062-06-2062,,Some-college,Divorced,,Female,<=50K
132-13-2132,45.0,Some-college,Married-civ-spouse,Husband,,
630-63-0630,19.0,HS-grad,,Not-in-family,,
275-27-5275,37.0,Masters,Never-married,Own-child,Female,
661-66-1661,43.0,,Divorced,Unmarried,,<=50K
293-29-3293,40.0,,,Husband,Male,<=50K
908-90-8908,49.0,,Married-civ-spouse,Husband,Male,
598-59-8598,30.0,,Married-civ-spouse,Husband,,<=50K
759-75-9759,22.0,,,Not-in-family,,
073-07-3073,32.0,,Married-civ-spouse,Husband,,>50K
407-40-7407,,HS-grad,,Own-child,Female,>50K
988-98-8988,27.0,Assoc-acdm,Married-civ-spouse,Husband,,<=50K
454-45-4454,,,,Husband,,<=50K
862-86-2862,41.0,Some-college,,Wife,,
798-79-8798,39.0,Bachelors,Married-civ-spouse,Husband,,
778-77-8778,70.0,HS-grad,Never-married,Other-relative,,
743-74-3743,38.0,,Married-civ-spouse,Husband,,<=50K
147-14-7147,50.0,,Married-civ-spouse,Husband,Male,
691-69-1691,33.0,HS-grad,Married-civ-spouse,Husband,,
079-07-9079,,7th-8th,Married-civ-spouse,Husband,,<=50K
335-33-5335,47.0,,Married-civ-spouse,Husband,Male,
938-93-8938,46.0,Some-college,Married-civ-spouse,Husband,Male,
904-90-4904,35.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
825-82-5825,51.0,Bachelors,Married-civ-spouse,Husband,,
326-32-6326,43.0,,Married-civ-spouse,Husband,Male,
758-75-8758,29.0,7th-8th,Separated,Unmarried,Female,<=50K
971-97-1971,26.0,,Never-married,Own-child,,<=50K
378-37-8378,55.0,HS-grad,Married-civ-spouse,Husband,,>50K
944-94-4944,,HS-grad,Divorced,Not-in-family,Male,
818-81-8818,36.0,Bachelors,,Husband,Male,
029-02-9029,46.0,Bachelors,Married-civ-spouse,Husband,,<=50K
007-00-7007,64.0,11th,,Husband,,<=50K
121-12-1121,36.0,,Married-civ-spouse,Husband,Male,<=50K
108-10-8108,,Bachelors,Married-civ-spouse,Husband,Male,
932-93-2932,44.0,HS-grad,Married-civ-spouse,Husband,,
730-73-0730,60.0,Assoc-voc,Divorced,Unmarried,Female,
985-98-5985,,Bachelors,Married-civ-spouse,Husband,,
753-75-3753,60.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
272-27-2272,26.0,Some-college,,Unmarried,Female,<=50K
363-36-3363,46.0,HS-grad,Never-married,Not-in-family,Male,
610-61-0610,33.0,HS-grad,,Wife,,
040-04-0040,19.0,,,Not-in-family,,<=50K
101-10-1101,37.0,Bachelors,,Husband,Male,<=50K
755-75-5755,30.0,,Never-married,Not-in-family,,
752-75-2752,62.0,Bachelors,,Husband,Male,<=50K
253-25-3253,19.0,,Never-married,,Male,<=50K
090-09-0090,,7th-8th,,,Female,<=50K
839-83-9839,32.0,12th,Never-married,Own-child,,<=50K
648-64-8648,33.0,Bachelors,Divorced,,Male,
603-60-3603,21.0,,Never-married,Own-child,Female,
793-79-3793,28.0,5th-6th,Never-married,Not-in-family,,
284-28-4284,35.0,HS-grad,Divorced,Not-in-family,Male,
002-00-2002,,Bachelors,Married-civ-spouse,,Female,>50K
997-99-7997,21.0,Assoc-acdm,Never-married,Other-relative,Female,
777-77-7777,,Bachelors,,Own-child,,
037-03-7037,65.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
323-32-3323,36.0,Bachelors,,Unmarried,Female,<=50K
575-57-5575,34.0,,Married-civ-spouse,Husband,,
629-62-9629,31.0,HS-grad,Never-married,,,<=50K
639-63-9639,45.0,Masters,,Not-in-family,Male,
845-84-5845,20.0,11th,,,,<=50K
641-64-1641,20.0,Some-college,Never-married,Not-in-family,,
477-47-7477,35.0,Masters,Married-civ-spouse,,,
720-72-0720,21.0,,,Not-in-family,,<=50K
148-14-8148,31.0,Assoc-acdm,,Husband,Male,
672-67-2672,24.0,,Never-married,Not-in-family,Male,<=50K
364-36-4364,29.0,Doctorate,,Not-in-family,Male,<=50K
542-54-2542,21.0,Assoc-acdm,,,Female,
080-08-0080,17.0,,Never-married,Own-child,,
568-56-8568,24.0,HS-grad,,Not-in-family,Male,<=50K
933-93-3933,44.0,,,Not-in-family,Male,
464-46-4464,,HS-grad,Divorced,Not-in-family,,
333-33-3333,,,Married-civ-spouse,Husband,Male,>50K
794-79-4794,32.0,,Separated,Not-in-family,,<=50K
623-62-3623,25.0,Assoc-voc,Married-civ-spouse,Husband,,
647-64-7647,45.0,HS-grad,Never-married,,,<=50K
005-00-5005,42.0,Bachelors,Divorced,Not-in-family,,
420-42-0420,,12th,Never-married,,,<=50K
668-66-8668,19.0,7th-8th,Never-married,Own-child,,
123-12-3123,57.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
012-01-2012,30.0,HS-grad,,Own-child,Female,<=50K
652-65-2652,30.0,Some-college,Married-civ-spouse,Wife,Female,
095-09-5095,49.0,,,Husband,,
355-35-5355,31.0,HS-grad,,Husband,Male,>50K
965-96-5965,49.0,,,Not-in-family,Female,<=50K
398-39-8398,43.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
270-27-0270,38.0,,,Husband,,
475-47-5475,42.0,Bachelors,Never-married,Other-relative,,<=50K
452-45-2452,29.0,HS-grad,Never-married,Not-in-family,,
510-51-0510,48.0,Assoc-acdm,Married-civ-spouse,,,>50K
359-35-9359,37.0,HS-grad,Widowed,Unmarried,Female,<=50K
036-03-6036,35.0,Doctorate,Never-married,Not-in-family,Female,
595-59-5595,59.0,Assoc-voc,,,,>50K
756-75-6756,,HS-grad,Divorced,Unmarried,Female,
607-60-7607,20.0,,,Own-child,Female,
950-95-0950,29.0,,Married-spouse-absent,Own-child,Female,
521-52-1521,34.0,,Never-married,,Female,
043-04-3043,60.0,HS-grad,Widowed,Not-in-family,Female,<=50K
016-01-6016,,Assoc-voc,Never-married,,Male,
769-76-9769,,Bachelors,,Husband,,<=50K
999-99-9999,,Bachelors,Married-civ-spouse,,Male,<=50K
262-26-2262,31.0,Bachelors,Divorced,Own-child,Female,
248-24-8248,,HS-grad,Never-married,Not-in-family,Male,<=50K
263-26-3263,30.0,HS-grad,Separated,Unmarried,,<=50K
242-24-2242,21.0,Some-college,Never-married,Own-child,Male,
634-63-4634,,,Never-married,Own-child,,<=50K
970-97-0970,29.0,,Never-married,Other-relative,,<=50K
438-43-8438,48.0,HS-grad,,Husband,,
953-95-3953,18.0,10th,,Other-relative,Female,
907-90-7907,50.0,,Divorced,Not-in-family,Male,>50K
860-86-0860,71.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
708-70-8708,31.0,,Widowed,,,
